id,id,construction_type,subject,copula,predicate,source_domain,target_domain,mapping_direction,metaphor_type,thematic_role,copula_function,constructional_meaning,cognitive_accessibility,mapping_basis,conceptual_complexity,embodied_experience,cognitive_reference_point,entailment_richness,prototype_distance,link_type,inter_construction_links,systematicity,conventionality,function_in_network,copula_type,holistic_imagery,relational_thinking,metaphor_novelty,family_marker,inheritance_relation,original_id,full_sentence,construction,time,source,genre,mapping_content,entailment,inheritance_links_detail,polysemy_links_detail,subpart_links_detail,cognitive_reference_point_description,pragmatic_function,context_sensitivity,discourse_type,ca_level,md_label,construction_type_12,ca_code,md_code,type_code
xb_00001,xb_00001,copular_metaphor,总路线,是,建设社会主义的锐利武器,WR,SC,2,structural,agent-instrument,equative,政治路线作为实现建设目标的有效工具,4,similarity,2,0.7,武器的功能性和战斗力,0.75,2,1,"知识是力量, 理论是武器, 批评是武器, 政策是工具, [工具隐喻构式群]",0.85,0.8,1,standard,1.3,1.6,0.5,,继承自基本系表构式,zh55588,会议认为，总路线是建设社会主义的锐利武器，是毛泽东同志总结了我国建设社会主义经验提出的一条马,总路线是建设社会主义的锐利武器,1959,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00002,xb_00002,copular_metaphor,化验员,是,侦察兵,WR,SC,1,ontological,agent-agent,equative,化验员在生产中承担如同侦察兵般的探查预警功能,4,similarity,2,0.65,侦察兵的探查功能,0.7,2,1,"工人是战士, 劳动是战斗, 生产是战场, 车间是阵地, [生产战斗隐喻群]",0.9,0.85,1,standard,1.5,1.7,0.5,,继承自基本系表构式,zh55595,"""作战先要探敌情，化验员是侦察兵，摸清含硫大敌情，坏料变成好钢锭""",化验员是侦察兵,1959,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00003,xb_00003,copular_metaphor,超国家的欧洲组织,是,垄断资本手中的新武器,WR,SC,2,structural,theme-instrument,equative,国际组织作为垄断资本实现剥削目的的工具,4,similarity,2,0.65,武器的工具性和控制力,0.75,2,1,"总路线是武器, 理论是武器, 政策是工具, 组织是手段, [工具隐喻构式群]",0.85,0.75,1,standard,1.3,1.6,0.5,,继承自基本系表构式,zh55603,所谓超国家的欧洲组织是垄断资本手中的新武器，它们用这个武器来更残酷地剥削各国人民，来限制他们,超国家的欧洲组织是垄断资本手中的新武器,1959,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00004,xb_00004,copular_metaphor,美国政府,是,威胁世界和平的罪魁祸首,HM,SC,2,ontological,agent-agent,equative,美国政府在国际政治中扮演如同罪犯般的破坏性角色,5,similarity,2,0.6,罪犯的破坏性和责任,0.75,1,1,"X是罪人, X是祸害, X是元凶, X是罪魁, [犯罪隐喻构式群]",0.9,0.9,1,standard,1.4,1.5,0.5,,继承自基本系表构式,zh55642,他们指出，美国政府是威胁世界和平的罪魁祸首,美国政府是威胁世界和平的罪魁祸首,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00005,xb_00005,copular_metaphor,文艺,是,教育人民、揭露和打击敌人的武器,WR,AB,2,structural,theme-instrument,equative,文艺作为意识形态斗争的有力工具,4,similarity,2,0.7,武器的战斗力和功能性,0.8,2,1,"总路线是武器, 理论是武器, 批评是武器, 笔是武器, [工具隐喻构式群]",0.9,0.85,1,standard,1.4,1.7,0.5,,继承自基本系表构式,zh55646,一直遵循着马克思主义关于文艺是教育人民、揭露和打击敌人的武器这一教导，向敌人展开了坚决的斗争,文艺是教育人民、揭露和打击敌人的武器,1960,人民日报,新闻,,,,,,,explanation,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00006,xb_00006,copular_metaphor,人,是,万物之灵,AB,LF,4,ontological,theme-essence,equative,人类在万物中具有最高的精神性和主体性,4,similarity,4,0.4,灵魂的超越性和主导性,0.8,2,1,"人是主体, 人是中心, 人是根本, 劳动者是主人, [人本隐喻构式群]",0.85,0.9,1,standard,1.8,1.6,0.5,,继承自基本系表构式,zh55636,人是万物之灵，人是生产力中最活跃的因素，人是建设社会主义的真正本钱,人是万物之灵,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,抽具,高_抽具,3,4,12
xb_00007,xb_00007,copular_metaphor,公社,就是,我的家,OB,SC,2,ontological,theme-location,equative,公社作为集体成员的归属和庇护之所，如同家庭,5,similarity,2,0.8,家的归属感和庇护功能,0.75,1,1,"祖国是母亲, 党是亲人, 集体是家, 组织是港湾, [家庭隐喻构式群]",0.9,0.9,1,standard,1.8,1.9,0.5,,继承自基本系表构式,zh55660,我没有家，公社就是我的家，除了工作，什么也不想，要想就只想党是救命恩人！,公社就是我的家,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00008,xb_00008,copular_metaphor,党,是,救命恩人,HM,SC,2,ontological,agent-agent,equative,党作为政治组织在人民生命中扮演如同救命恩人般的关键角色,5,similarity,2,0.85,救命恩人的拯救性和恩德,0.8,1,1,"党是亲人, 党是母亲, 党是太阳, 祖国是母亲, [恩人隐喻构式群]",0.9,0.9,1,standard,1.7,1.9,0.5,,继承自基本系表构式,zh55660,我没有家，公社就是我的家，除了工作，什么也不想，要想就只想党是救命恩人！,党是救命恩人,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00009,xb_00009,copular_metaphor,身体,是,建设祖国的财富,EC,BD,2,ontological,theme-resource,equative,身体健康作为国家建设的宝贵资源和物质基础,4,similarity,4,0.7,财富的价值性和资源性,0.75,2,1,"时间是金钱, 知识是财富, 人才是财富, 健康是资本, [资源隐喻构式群]",0.85,0.8,1,standard,1.5,1.7,0.5,,继承自基本系表构式,zh55662,同志们，要牢记安全生产，这是党对矿工的关怀。身体是建设祖国的财富，身体好，前进的速度才能加快。,身体是建设祖国的财富,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00010,xb_00010,copular_metaphor,共产党,是,劳动人民的太阳,NT,SC,2,ontological,theme-source,equative,共产党为劳动人民提供光明、温暖和生命力，如同太阳之于万物,5,similarity,2,0.9,太阳的光明、温暖和生命给予功能,0.85,1,1,"毛主席是红太阳, 党是灯塔, 党是明灯, 领袖是太阳, [光源隐喻构式群]",0.95,0.95,1,standard,1.9,1.9,0.5,,继承自基本系表构式,zh55667,从帝国主义、封建主义桎梏中解放了的我国人民，对这样一个道理深信不疑：共产党是劳动人民的太阳。,共产党是劳动人民的太阳,1960,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
