语例ID,主语(目标域),谓语(源域),目标域,目标域名称,源域,源域名称,映射方向,映射方向标签,F_field,A_level,D_number,D_abstract,I_depth,S_schema,D_processing,CC连续值,CC等级(等距法),标注覆盖,CC标注值,CC等级(五分位法)
xb_00001,总路线,建设社会主义的锐利武器,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00002,化验员,侦察兵,SC,社会,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00003,超国家的欧洲组织,垄断资本手中的新武器,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00004,美国政府,威胁世界和平的罪魁祸首,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00005,文艺,教育人民、揭露和打击敌人的武器,AB,抽象,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00006,人,万物之灵,LF,光线,AB,抽象,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00007,公社,我的家,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00008,党,救命恩人,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00009,身体,建设祖国的财富,BD,建筑,EC,经济,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,4,2
xb_00010,共产党,劳动人民的太阳,SC,社会,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00011,民歌,劳动人民集体智慧的结晶,AB,抽象,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00012,美帝国主义,世界反动的支柱,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00013,技术,劳动人民的结晶,TH,思维,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00014,人民,建设共产主义的决定性力量,SC,社会,FC,力量,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00015,人民,革命力量的源泉,SC,社会,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00016,农业,发展国民经济的基础,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00017,水土保持,发展山区生产的生命线,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00018,心脏,循环系统的总枢纽,LF,光线,SP,空间,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00019,鱼群探测器,侦察鱼群的现代化利器,AB,抽象,WR,战争,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00020,人的精神面貌,意气风发,ST,结构,ST,结构,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00021,凯恩斯主义,垄断资本在世界资本主义体系总危机和衰落时期的基本经济学,TH,思维,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,4,5
xb_00022,叛徒,革命事业最危险的敌人,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00023,和平的敌人,侵略势力,MR,机器,HM,人体,4,抽象→具体,0.6,0.33,0.6,0.465,0.67,0.67,0.67,0.5573,3,否,4,4
xb_00024,修正主义,麻醉人民的鸦片,TH,思维,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00025,美国政府,垄断资本集团的工具,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00026,雷锋同志,劳动人民的好儿子,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00027,美国的国家机器,垄断资本实行阶级统治的工具,SC,社会,MC,医疗,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00028,美帝国主义,革命文化的头号敌人,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00029,企业的各项规程制度,生产经验的结晶,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00030,美帝国主义,侵略元凶,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00031,美帝国主义,威胁世界和平、阻挠人民解放斗争的国际反动派的元凶,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00032,上校,屠杀人民的刽子手,SC,社会,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
