,类型编号,代表语例,构式结构,源域,目标域,认知通达度,概念复杂度
0,T1,要生出乳头呢？山是地的乳头，浪是海的乳头，语言是思想的乳头，花朵是草木的乳头，路灯是街道的乳头，太阳是宇宙的乳头……把一切都归结到乳,山是地的乳头,BD,NT,2,3
1,T2,人民是建设共产主义的决定性力量。,人民是建设共产主义的决定性力量,FC,SC,2,2
2,T3,里，酣畅淋漓地睡到明天天明。你敢晒晒自己在哪过夜么？老麦曾说媒介是讯息。而在这个娱乐至死、营销前置的年代，内容创意力直接决定营销效果,媒介是讯息,TH,AB,2,3
3,T4,"陈赓同志答道：""我陈赓天生和虱子有缘分。虱子是革命虫！""蒋介石又说道：""草鞋总该换换吧？""陈赓同志冷冷地答道：""我",虱子是革命虫,SC,LV,2,2
4,T5,"对，我还没向你说明。\""说着她又继续动手剥柿子。\""要我帮你吗？\""我说。\""不，一个人能够做。\""那就说明一下。\""也没什么特别的。地铁不过是文明的延伸线",地铁是文明的延伸线,SP,OB,3,2
5,T6,上了和社会主义道路和广大劳动人民的信念相违背的资产阶级道路。工人阶级是革命队伍的先锋，对于革命是最坚决的，工人的思想是最纯洁的，可是，一旦失,工人阶级是革命队伍的先锋,WR,SC,3,2
6,T7,服务行业是革命行业服务行业是革命行业在我们的国家中，一切为建设社会主义的自觉劳动,服务行业是革命行业,TR,AB,3,3
7,T8,上面提到的那些力量对比变化的事实，毕竟是有重要意义的。强大的武器是劳动生产率为什么在经济战争中日本能够接连打胜仗，而美国却防不胜防，常吃败,强大的武器是劳动生产率,WR,EV,3,4
8,T9,否战胜病机体与病原体就取决于第三道防线是否牢固。这道防线上的主力军是T淋巴细胞和B淋巴细胞。当吞噬细胞在边防遇到病原体入侵，在予以围,主力军是T淋巴细胞和B淋巴细胞,WR,BD,4,2
9,T10,我没有家，公社就是我的家，除了工作，什么也不想，要想就只想党是救命恩人！,公社就是我的家,OB,SC,5,2
10,T11,主席的指示给革命的人最崇高、最远大的理想。——张永庆毛主席的话是劳动人民的心里话。毛主席的话，句句是真理，一句顶一万句。我一天不学习毛,毛主席的话是劳动人民的心里话,SP,CM,4,3
11,T12,产品是人品，公司的文化如何对待事件的态度将会影响公司的声誉,产品是人品,MR,OB,4,4
