,链接类型,序号,典型语例,源域,目标域,认知通达度,构式类型
0,隐喻扩展链接,1,"市场发行专门用于资助环保项目的绿色债券，并指出中国企业和金融机构是世界上发行绿色债券最多的。""...",TR,SC,4,T11
1,隐喻扩展链接,2,于是，在浓烟滚滚、炮火轰鸣的战场上，写下了光辉灿烂的历史。中国共产党是国际共产主义运动的先锋。...,OB,AB,5,T10
2,隐喻扩展链接,3,"争取今年再增产１００亿斤粮食，２５万担茶叶双季稻一般都发生""钻心虫""和螟虫的为害，螟虫是双季稻...",HM,SC,5,T10
3,多义链接,1,三四郎并不认为仅仅是由于拉肚子造成的，然而他也并不觉得自己的一生是达观的，以至可以将倦怠的面容...,HM,LF,4,T10
4,多义链接,2,"是可耻的。我本可以继续再耍着您玩,但我觉得对于一个国王,您的做法是可耻的,对于一个贵族,您的做...",OB,AB,5,T10
5,多义链接,3,"口气说,""我很高兴能向你道歉,但是,唉!""""但是什么?""""那段消息是正确的,我的朋友。""""什么...",OB,AB,5,T10
6,子部分链接,1,时流行的老旧、陈腐、沉闷，新文学是自由的，通向了一个全新广阔的艺术世界，然而文学人纷纷跑了进去...,SP,AB,4,T10
7,子部分链接,2,他们回到床上。他想，他们拉拢不成我，老头子，他想着。他已经记不起他多大年纪了。我的年龄不算年轻...,SP,AB,5,T10
8,子部分链接,3,"叹了一口气。""他从口袋里掏出打火机，是中国造的，点了火。然后，他们点燃了所有的火。烧杉树的劈柴...",BD,EM,4,T10
9,实例链接,1,他简直不相信这是良心的声音在告诉他，说他打算做的事是不对的。斯捷潘·阿尔卡季奇鼓起勇气，战胜了...,HM,AB,5,T12
10,实例链接,2,段胁迫债主，把债务一笔勾销。这种风雨飘摇的时局，给人民带来的灾难是深重的,SP,AB,5,T10
11,实例链接,3,这个出乎意料的提议的反应；许多人觉得反对或附和都不保险，有些人是老奸巨滑,MV,AB,4,T10
