,类型编号,代表语例,构式结构,源域,目标域,认知通达度,概念复杂度
0,T1,个女仆，手里拿着一只活刺猬当槌球，用一只活火烈鸟当球棒。爱丽丝找到了她的刺猬，虽然很麻烦，但总...,槌球是活刺猬,OB,AB,2,3
1,T2,"陈赓同志答道：""我陈赓天生和虱子有缘分。虱子是革命虫！""蒋介石又说道：""草鞋总该换换吧？""陈赓...",虱子是革命虫,LV,SC,2,4
2,T3,法官执法应有的配合之责，甚至连法官人身安全保护也都没有做到。司法是中央事权，这是近年来司法体制...,司法是中央事权,SC,SC,2,3
3,T4,方与直之中有一件东西就显得非常的圆。不可移动，不可更改。这件东西是黑的。白与黑之间划出分明界限...,火是凉的,ST,OB,2,2
4,T5,设备制造和设备安装质量良好，生产工人具备了相当高的操作水平。维尼纶是合成纤维的一个品种，学名叫...,维尼纶是合成纤维的一个品种,OB,AB,3,2
5,T6,"""二十天。""他说：""过两、三天就回去吧！""……有人说，情人的眼睛是测量爱情最灵敏的温度计。我从...",情人的眼睛是测量爱情最灵敏的温度计,OB,ST,3,2
6,T7,"在教育领域里，最典型的，就是反动腐朽的《三字经》之类的读物，向儿童灌输""人之初，性本善""等唯心...",历史是封建帝王秉承上天的意志而创造的,SP,TM,3,2
7,T8,"已故美国共产党名誉主席福斯特曾经说过：""凯恩斯主义是垄断资本在世界资本主义体系总危机和衰落时期...",凯恩斯主义是垄断资本的基本经济学,OB,TH,3,3
8,T9,"""作战先要探敌情，化验员是侦察兵，摸清含硫大敌情，坏料变成好钢锭""",化验员是侦察兵,WR,EV,4,3
9,T10,双方认为，美帝国主义的实力政策、新殖民主义是威胁世界和平和造成国际紧张局势的主要根源。美帝国主...,美帝国主义是世界反动的支柱,OB,SC,5,3
10,T11,美国共产党领导人还承认马克思列宁主义的国家学说，承认美国的国家机器是垄断资本实行阶级统治的工具,美国的国家机器是垄断资本实行阶级统治的工具,MC,SC,4,3
11,T12,殊性为由，认为演员中心制是天经地义的。这种看法的理论根据是，戏曲是表演艺术，这种表演艺术以形式...,戏曲是表演艺术,HM,AB,5,2
